Designator,Mid X,Mid Y,Rotation,Layer
C1,170.2985,-122.638,90.0,top
C10,165.9795,-104.311,270.0,top
C11,163.7765,-104.311,270.0,top
C12,161.5965,-104.311,270.0,top
C13,161.8575,-100.339,270.0,top
C14,159.6775,-100.339,270.0,top
C15,157.4975,-100.339,270.0,top
C16,155.3175,-100.339,270.0,top
C17,155.4765,-104.311,270.0,top
C18,153.2965,-104.311,270.0,top
C19,151.1165,-104.311,270.0,top
C2,166.2985,-122.638,270.0,top
C20,148.9365,-104.311,270.0,top
C21,167.5985,-120.433,270.0,top
C23,165.9335,-107.778,180.0,top
C24,162.3985,-119.608,180.0,top
C25,171.7485,-119.983,0.0,top
C26,171.7485,-120.918,0.0,top
C27,174.9,-113.025,0.0,top
C28,166.6735,-120.433,270.0,top
C29,175.4,-111.65,90.0,top
C30,174.9,-113.95,0.0,top
C31,161.3235,-114.558,180.0,top
C32,170.2235,-107.183,90.0,top
C33,175.55,-115.325,270.0,top
C34,171.1485,-107.183,90.0,top
C35,161.3235,-117.283,180.0,top
C358,150.5235,-114.298,0.0,top
C359,150.5235,-115.218,0.0,top
C36,165.7485,-120.433,270.0,top
C360,150.5235,-120.298,0.0,top
C361,150.5235,-121.218,0.0,top
C37,164.8235,-120.908,270.0,top
C38,154.7235,-107.283,90.0,top
C39,143.2,-108.905,270.0,top
C4,159.5035,-117.288,0.0,top
C40,138.325,-110.75,270.0,top
C41,144.115,-108.9,270.0,top
C5,174.5265,-100.339,270.0,top
C6,172.3465,-100.339,270.0,top
C7,170.1665,-100.339,270.0,top
C8,167.9865,-100.339,270.0,top
C9,168.1795,-104.311,270.0,top
D1,145.966,-105.168,0.0,top
D2,147.6835,-109.458,180.0,top
D3,147.6835,-110.408,180.0,top
F2,140.4625,-110.775,180.0,top
H1,146.3235,-100.008,0.0,top
H2,146.3235,-100.008,0.0,bottom
J1,139.3985,-116.858,270.0,top
J2,161.7945,-96.527,90.0,top
J3,140.9665,-96.527,90.0,top
J4,156.464,-128.778,90.0,top
J5,179.07,-112.268,0.0,top
R1,173.6015,-100.339,270.0,top
R10,158.6925,-100.339,270.0,top
R11,156.4925,-100.339,270.0,top
R12,154.2925,-100.339,270.0,top
R13,154.5515,-104.311,270.0,top
R14,152.3515,-104.311,270.0,top
R15,150.1515,-104.311,270.0,top
R16,147.9515,-104.311,270.0,top
R18,142.2365,-99.448,270.0,top
R19,139.6965,-99.448,270.0,top
R2,171.4015,-100.339,270.0,top
R20,139.1235,-101.008,180.0,top
R21,152.5435,-111.158,0.0,top
R22,152.5435,-112.108,0.0,top
R23,149.726,-110.418,180.0,top
R24,149.726,-109.463,180.0,top
R25,143.9235,-105.158,0.0,top
R26,158.7235,-120.358,90.0,top
R27,155.3735,-113.958,0.0,top
R28,157.2485,-113.933,0.0,top
R29,153.9735,-113.208,270.0,top
R3,169.2015,-100.339,270.0,top
R30,141.8135,-100.908,180.0,top
R31,141.3235,-102.318,270.0,top
R32,137.7235,-101.518,270.0,top
R4,167.0015,-100.339,270.0,top
R5,167.2515,-104.311,270.0,top
R6,165.0515,-104.311,270.0,top
R7,162.8515,-104.311,270.0,top
R8,160.6515,-104.311,270.0,top
R9,160.8925,-100.339,270.0,top
R97,150.9235,-118.258,0.0,top
R98,150.9235,-117.258,0.0,top
RN1,170.5935,-101.008,180.0,bottom
RN2,164.1935,-105.008,180.0,bottom
RN3,157.9935,-101.008,180.0,bottom
RN4,151.5935,-105.008,180.0,bottom
SW1,158.0235,-107.283,0.0,top
SW2,173.8,-105.0,270.0,top
U1,167.8735,-113.883,180.0,top
U16,148.5235,-114.008,270.0,top
U2,140.475,-107.3125,180.0,top
U22,148.5235,-117.008,270.0,top
U23,148.5235,-120.008,270.0,top
U3,156.1985,-112.358,180.0,top
U5,156.7435,-117.283,180.0,top
Y1,168.2985,-122.638,0.0,top
