Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,33pF,C5137486
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C5, C6, C7, C8, C9",0402,16,15pF,C1548
"C21, C22, C23, C24, C25, C26, C27, C30, C31, C32, C34, C35, C358, C359, C36, C360, C361, C38, C4",0402,19,100nF,C110251
"C28, C29, C3, C33, C37, C39, C40",0402,7,4.7uF,C7472956
"D1, D2, D3",0402,3,LED,C20613596
F2,0805,1,1A@12V,C46640991
J1,USB_C_Receptacle_SHOU-HAN_24P-QT,1,USB_C_Receptacle,C2681555
J2,PinSocket_2x20_P1.27mm_Horizontal,1,Conn_02x20,C2881906
J3,PinSocket_2x04_P1.27mm_Horizontal,1,Conn_02x04,C2881890
J4,PinSocket_2x15_P2.54mm_Vertical,1,Conn_02x15,C56496
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R23, R24, R25, R3, R4, R5, R6, R7, R8, R9",0402,19,1k,C2906864
"R17, R20",0402,2,220R,C25091
"R18, R19",0402,2,100R,C2906860
"R21, R22",0402,2,5.1k,C2906874
"R97, R98",0402,2,2.2R,C53454336
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0603,4,100k,C110374
"SW1, SW2",SW_Push_SPST_TSA016,2,SW_Push,C2888427
U1,QFN-88-1EP_10x10mm_P0.4mm_EP5.7x5.7mm_ThermalVias,1,CH32H417MxUx,
"U16, U22, U23",USON-10_2.5x1.0mm_P0.5mm,3,TPD4EUSB30,C558427
U2,VSSOP-8_2.3x2mm_P0.5mm,1,Opamp_Dual,C2058180
U3,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm_ThermalVias,1,CH9441P,C54300797
U4,SOT-23-3,1,XC6206PxxxMR,C347376
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,25MHz 20pF,C252274
